,count,date,state,year
0,4,2012_03_01,Louisiana,2012
1,8,2012_03_02,Louisiana,2012
2,1,2012_03_03,Louisiana,2012
3,3,2012_03_04,Louisiana,2012
4,2,2012_03_08,Louisiana,2012
5,4,2012_03_09,Louisiana,2012
6,1,2012_03_10,Louisiana,2012
7,3,2012_03_13,Louisiana,2012
8,1,2012_03_14,Louisiana,2012
9,1,2012_03_18,Louisiana,2012
10,1,2012_03_20,Louisiana,2012
11,3,2012_03_26,Louisiana,2012
12,1,2012_03_28,Louisiana,2012
13,2,2012_03_29,Louisiana,2012
14,1,2012_04_01,Louisiana,2012
15,2,2012_04_03,Louisiana,2012
16,2,2012_04_04,Louisiana,2012
17,1,2012_04_14,Louisiana,2012
18,1,2012_04_15,Louisiana,2012
19,1,2012_04_18,Louisiana,2012
20,1,2012_04_19,Louisiana,2012
21,1,2012_04_20,Louisiana,2012
22,1,2012_04_21,Louisiana,2012
23,1,2012_04_22,Louisiana,2012
24,1,2012_04_27,Louisiana,2012
25,3,2012_05_03,Louisiana,2012
26,2,2012_05_05,Louisiana,2012
27,4,2012_05_06,Louisiana,2012
28,1,2012_05_07,Louisiana,2012
29,2,2012_05_08,Louisiana,2012
30,1,2012_05_09,Louisiana,2012
31,1,2012_05_11,Louisiana,2012
32,1,2012_05_13,Louisiana,2012
33,1,2012_05_18,Louisiana,2012
34,1,2012_05_20,Louisiana,2012
35,1,2012_05_27,Louisiana,2012
36,2,2012_05_29,Louisiana,2012
37,2,2012_05_31,Louisiana,2012
38,6,2012_02_01,Louisiana,2012
39,4,2012_02_02,Louisiana,2012
40,1,2012_02_03,Louisiana,2012
41,1,2012_02_04,Louisiana,2012
42,1,2012_02_05,Louisiana,2012
43,1,2012_02_06,Louisiana,2012
44,3,2012_02_07,Louisiana,2012
45,3,2012_02_09,Louisiana,2012
46,1,2012_02_11,Louisiana,2012
47,1,2012_02_12,Louisiana,2012
48,2,2012_02_13,Louisiana,2012
49,4,2012_02_14,Louisiana,2012
50,3,2012_02_15,Louisiana,2012
51,2,2012_02_16,Louisiana,2012
52,6,2012_02_18,Louisiana,2012
53,2,2012_02_20,Louisiana,2012
54,3,2012_02_23,Louisiana,2012
55,4,2012_02_24,Louisiana,2012
56,2,2012_02_25,Louisiana,2012
57,3,2012_02_26,Louisiana,2012
58,1,2012_02_27,Louisiana,2012
59,2,2012_02_29,Louisiana,2012
60,9,2012_11_01,Louisiana,2012
61,5,2012_11_02,Louisiana,2012
62,4,2012_11_03,Louisiana,2012
63,1,2012_11_04,Louisiana,2012
64,14,2012_11_05,Louisiana,2012
65,4,2012_11_06,Louisiana,2012
66,6,2012_11_07,Louisiana,2012
67,11,2012_11_08,Louisiana,2012
68,19,2012_11_09,Louisiana,2012
69,1,2012_11_10,Louisiana,2012
70,3,2012_11_11,Louisiana,2012
71,4,2012_11_12,Louisiana,2012
72,7,2012_11_13,Louisiana,2012
73,16,2012_11_14,Louisiana,2012
74,9,2012_11_15,Louisiana,2012
75,8,2012_11_16,Louisiana,2012
76,4,2012_11_17,Louisiana,2012
77,7,2012_11_19,Louisiana,2012
78,11,2012_11_20,Louisiana,2012
79,3,2012_11_21,Louisiana,2012
80,3,2012_11_22,Louisiana,2012
81,4,2012_11_23,Louisiana,2012
82,2,2012_11_24,Louisiana,2012
83,5,2012_11_25,Louisiana,2012
84,4,2012_11_26,Louisiana,2012
85,2,2012_11_27,Louisiana,2012
86,8,2012_11_28,Louisiana,2012
87,12,2012_11_29,Louisiana,2012
88,3,2012_11_30,Louisiana,2012
