,count,date,state,year
0,5,2012_03_01,Louisiana,2012
1,8,2012_03_02,Louisiana,2012
2,1,2012_03_03,Louisiana,2012
3,4,2012_03_04,Louisiana,2012
4,2,2012_03_08,Louisiana,2012
5,4,2012_03_09,Louisiana,2012
6,2,2012_03_10,Louisiana,2012
7,3,2012_03_13,Louisiana,2012
8,1,2012_03_14,Louisiana,2012
9,1,2012_03_18,Louisiana,2012
10,1,2012_03_20,Louisiana,2012
11,1,2012_03_21,Louisiana,2012
12,3,2012_03_26,Louisiana,2012
13,1,2012_03_28,Louisiana,2012
14,2,2012_03_29,Louisiana,2012
15,1,2012_04_01,Louisiana,2012
16,3,2012_04_03,Louisiana,2012
17,2,2012_04_04,Louisiana,2012
18,1,2012_04_14,Louisiana,2012
19,1,2012_04_15,Louisiana,2012
20,1,2012_04_18,Louisiana,2012
21,1,2012_04_19,Louisiana,2012
22,1,2012_04_20,Louisiana,2012
23,1,2012_04_21,Louisiana,2012
24,1,2012_04_22,Louisiana,2012
25,1,2012_04_27,Louisiana,2012
26,3,2012_05_03,Louisiana,2012
27,2,2012_05_05,Louisiana,2012
28,4,2012_05_06,Louisiana,2012
29,2,2012_05_07,Louisiana,2012
30,2,2012_05_08,Louisiana,2012
31,1,2012_05_09,Louisiana,2012
32,1,2012_05_11,Louisiana,2012
33,1,2012_05_13,Louisiana,2012
34,1,2012_05_18,Louisiana,2012
35,1,2012_05_20,Louisiana,2012
36,1,2012_05_27,Louisiana,2012
37,2,2012_05_29,Louisiana,2012
38,2,2012_05_31,Louisiana,2012
39,7,2012_02_01,Louisiana,2012
40,4,2012_02_02,Louisiana,2012
41,1,2012_02_03,Louisiana,2012
42,1,2012_02_04,Louisiana,2012
43,1,2012_02_05,Louisiana,2012
44,1,2012_02_06,Louisiana,2012
45,3,2012_02_07,Louisiana,2012
46,2,2012_02_08,Louisiana,2012
47,3,2012_02_09,Louisiana,2012
48,2,2012_02_10,Louisiana,2012
49,1,2012_02_11,Louisiana,2012
50,1,2012_02_12,Louisiana,2012
51,2,2012_02_13,Louisiana,2012
52,4,2012_02_14,Louisiana,2012
53,3,2012_02_15,Louisiana,2012
54,2,2012_02_16,Louisiana,2012
55,6,2012_02_18,Louisiana,2012
56,1,2012_02_19,Louisiana,2012
57,2,2012_02_20,Louisiana,2012
58,3,2012_02_23,Louisiana,2012
59,4,2012_02_24,Louisiana,2012
60,2,2012_02_25,Louisiana,2012
61,3,2012_02_26,Louisiana,2012
62,1,2012_02_27,Louisiana,2012
63,1,2012_02_28,Louisiana,2012
64,2,2012_02_29,Louisiana,2012
65,10,2012_11_01,Louisiana,2012
66,5,2012_11_02,Louisiana,2012
67,4,2012_11_03,Louisiana,2012
68,1,2012_11_04,Louisiana,2012
