,count,date,state,year
0,1,2012_03_01,Louisiana,2012
1,3,2012_03_02,Louisiana,2012
2,1,2012_03_04,Louisiana,2012
3,2,2012_03_29,Louisiana,2012
4,1,2012_04_27,Louisiana,2012
5,1,2012_05_05,Louisiana,2012
6,1,2012_05_18,Louisiana,2012
7,2,2012_02_02,Louisiana,2012
8,1,2012_02_07,Louisiana,2012
9,1,2012_02_13,Louisiana,2012
10,1,2012_02_27,Louisiana,2012
11,1,2012_11_07,Louisiana,2012
12,4,2012_11_08,Louisiana,2012
13,2,2012_11_09,Louisiana,2012
14,1,2012_11_13,Louisiana,2012
15,2,2012_11_14,Louisiana,2012
16,1,2012_11_15,Louisiana,2012
17,1,2012_11_16,Louisiana,2012
18,1,2012_11_19,Louisiana,2012
19,4,2012_11_20,Louisiana,2012
20,1,2012_11_21,Louisiana,2012
21,1,2012_11_24,Louisiana,2012
22,1,2012_11_30,Louisiana,2012
23,5,2012_10_01,Louisiana,2012
24,2,2012_10_02,Louisiana,2012
25,1,2012_10_03,Louisiana,2012
26,1,2012_10_06,Louisiana,2012
27,1,2012_10_07,Louisiana,2012
28,2,2012_10_10,Louisiana,2012
29,2,2012_10_21,Louisiana,2012
30,7,2012_10_22,Louisiana,2012
31,2,2012_10_23,Louisiana,2012
32,2,2012_10_24,Louisiana,2012
33,1,2012_10_26,Louisiana,2012
34,3,2012_10_28,Louisiana,2012
35,4,2012_10_29,Louisiana,2012
36,2,2012_10_30,Louisiana,2012
37,3,2012_07_08,Louisiana,2012
38,1,2012_09_03,Louisiana,2012
39,1,2012_09_21,Louisiana,2012
40,1,2012_09_27,Louisiana,2012
41,6,2012_09_30,Louisiana,2012
42,1,2012_08_01,Louisiana,2012
43,1,2012_08_14,Louisiana,2012
44,1,2012_01_02,Louisiana,2012
45,1,2012_01_03,Louisiana,2012
46,1,2012_01_06,Louisiana,2012
47,1,2012_01_12,Louisiana,2012
48,1,2012_01_14,Louisiana,2012
49,1,2012_01_15,Louisiana,2012
50,1,2012_01_18,Louisiana,2012
51,1,2012_01_29,Louisiana,2012
52,1,2012_01_31,Louisiana,2012
53,1,2012_06_03,Louisiana,2012
54,3,2012_12_02,Louisiana,2012
55,5,2012_12_03,Louisiana,2012
56,7,2012_12_04,Louisiana,2012
57,2,2012_12_05,Louisiana,2012
58,3,2012_12_06,Louisiana,2012
59,2,2012_12_07,Louisiana,2012
60,1,2012_12_09,Louisiana,2012
61,1,2012_12_10,Louisiana,2012
62,2,2012_12_11,Louisiana,2012
63,1,2012_12_12,Louisiana,2012
64,1,2012_12_13,Louisiana,2012
65,2,2012_12_16,Louisiana,2012
66,2,2012_12_19,Louisiana,2012
67,1,2012_12_25,Louisiana,2012
68,1,2012_12_26,Louisiana,2012
69,2,2012_12_27,Louisiana,2012
70,1,2012_12_28,Louisiana,2012
71,2,2012_03_01,Michigan,2012
72,2,2012_03_02,Michigan,2012
73,1,2012_03_03,Michigan,2012
74,1,2012_03_08,Michigan,2012
75,1,2012_03_20,Michigan,2012
76,1,2012_03_26,Michigan,2012
77,1,2012_04_02,Michigan,2012
78,2,2012_04_04,Michigan,2012
79,2,2012_04_24,Michigan,2012
80,2,2012_04_26,Michigan,2012
81,1,2012_05_01,Michigan,2012
82,1,2012_05_02,Michigan,2012
83,1,2012_05_18,Michigan,2012
84,4,2012_05_19,Michigan,2012
85,1,2012_05_22,Michigan,2012
86,2,2012_02_01,Michigan,2012
87,1,2012_02_02,Michigan,2012
88,3,2012_02_03,Michigan,2012
89,1,2012_02_07,Michigan,2012
90,1,2012_02_08,Michigan,2012
91,1,2012_02_12,Michigan,2012
92,1,2012_02_15,Michigan,2012
93,2,2012_02_21,Michigan,2012
94,1,2012_02_22,Michigan,2012
95,2,2012_02_23,Michigan,2012
96,1,2012_02_28,Michigan,2012
97,2,2012_11_02,Michigan,2012
98,3,2012_11_03,Michigan,2012
99,2,2012_11_05,Michigan,2012
100,2,2012_11_06,Michigan,2012
101,2,2012_11_07,Michigan,2012
102,3,2012_11_08,Michigan,2012
103,1,2012_11_12,Michigan,2012
104,1,2012_11_13,Michigan,2012
105,1,2012_11_15,Michigan,2012
106,1,2012_11_16,Michigan,2012
107,1,2012_11_22,Michigan,2012
108,3,2012_11_23,Michigan,2012
109,2,2012_11_26,Michigan,2012
110,3,2012_11_28,Michigan,2012
111,4,2012_11_29,Michigan,2012
112,2,2012_10_01,Michigan,2012
113,9,2012_10_02,Michigan,2012
