,count,date,state,year
0,1,2012_03_09,Louisiana,2012
1,1,2012_03_13,Louisiana,2012
2,1,2012_03_20,Louisiana,2012
3,1,2012_03_26,Louisiana,2012
4,1,2012_03_28,Louisiana,2012
5,1,2012_04_20,Louisiana,2012
6,1,2012_05_03,Louisiana,2012
7,1,2012_05_06,Louisiana,2012
8,1,2012_05_08,Louisiana,2012
9,1,2012_05_09,Louisiana,2012
10,1,2012_05_18,Louisiana,2012
11,2,2012_02_01,Louisiana,2012
12,1,2012_02_05,Louisiana,2012
13,1,2012_02_07,Louisiana,2012
14,1,2012_02_09,Louisiana,2012
15,1,2012_02_11,Louisiana,2012
16,1,2012_02_12,Louisiana,2012
17,1,2012_02_13,Louisiana,2012
18,1,2012_02_14,Louisiana,2012
19,1,2012_02_18,Louisiana,2012
20,1,2012_02_29,Louisiana,2012
21,1,2012_11_01,Louisiana,2012
22,3,2012_11_02,Louisiana,2012
23,1,2012_11_03,Louisiana,2012
24,1,2012_11_04,Louisiana,2012
25,3,2012_11_05,Louisiana,2012
26,4,2012_11_07,Louisiana,2012
27,3,2012_11_08,Louisiana,2012
28,3,2012_11_09,Louisiana,2012
29,1,2012_11_11,Louisiana,2012
30,2,2012_11_12,Louisiana,2012
31,2,2012_11_13,Louisiana,2012
32,5,2012_11_14,Louisiana,2012
33,2,2012_11_15,Louisiana,2012
34,3,2012_11_16,Louisiana,2012
35,1,2012_11_17,Louisiana,2012
36,1,2012_11_19,Louisiana,2012
37,3,2012_11_20,Louisiana,2012
38,1,2012_11_21,Louisiana,2012
39,1,2012_11_23,Louisiana,2012
40,1,2012_11_24,Louisiana,2012
41,1,2012_11_25,Louisiana,2012
42,2,2012_11_26,Louisiana,2012
43,4,2012_11_28,Louisiana,2012
44,2,2012_11_29,Louisiana,2012
45,1,2012_10_01,Louisiana,2012
46,4,2012_10_02,Louisiana,2012
47,6,2012_10_03,Louisiana,2012
48,2,2012_10_04,Louisiana,2012
49,1,2012_10_05,Louisiana,2012
50,1,2012_10_06,Louisiana,2012
51,3,2012_10_08,Louisiana,2012
52,1,2012_10_09,Louisiana,2012
53,1,2012_10_10,Louisiana,2012
54,5,2012_10_18,Louisiana,2012
55,7,2012_10_19,Louisiana,2012
56,3,2012_10_20,Louisiana,2012
57,8,2012_10_21,Louisiana,2012
58,4,2012_10_22,Louisiana,2012
59,7,2012_10_23,Louisiana,2012
60,7,2012_10_24,Louisiana,2012
61,8,2012_10_25,Louisiana,2012
62,2,2012_10_26,Louisiana,2012
63,4,2012_10_27,Louisiana,2012
64,1,2012_10_28,Louisiana,2012
65,3,2012_10_29,Louisiana,2012
66,8,2012_10_30,Louisiana,2012
67,2,2012_07_04,Louisiana,2012
68,1,2012_07_11,Louisiana,2012
69,3,2012_09_03,Louisiana,2012
70,1,2012_09_04,Louisiana,2012
71,2,2012_09_10,Louisiana,2012
72,1,2012_09_12,Louisiana,2012
73,1,2012_09_13,Louisiana,2012
74,6,2012_09_21,Louisiana,2012
75,3,2012_09_23,Louisiana,2012
76,1,2012_09_24,Louisiana,2012
77,3,2012_09_25,Louisiana,2012
78,1,2012_09_26,Louisiana,2012
79,5,2012_09_27,Louisiana,2012
80,4,2012_09_28,Louisiana,2012
81,1,2012_09_29,Louisiana,2012
82,1,2012_08_01,Louisiana,2012
83,3,2012_08_14,Louisiana,2012
84,1,2012_08_29,Louisiana,2012
85,1,2012_08_30,Louisiana,2012
86,2,2012_01_02,Louisiana,2012
87,1,2012_01_07,Louisiana,2012
88,1,2012_01_09,Louisiana,2012
89,3,2012_01_10,Louisiana,2012
90,1,2012_01_11,Louisiana,2012
91,2,2012_01_12,Louisiana,2012
92,1,2012_01_13,Louisiana,2012
93,2,2012_01_18,Louisiana,2012
94,1,2012_01_27,Louisiana,2012
95,1,2012_06_16,Louisiana,2012
96,1,2012_12_01,Louisiana,2012
97,4,2012_12_04,Louisiana,2012
98,4,2012_12_05,Louisiana,2012
99,4,2012_12_06,Louisiana,2012
100,4,2012_12_07,Louisiana,2012
101,1,2012_12_08,Louisiana,2012
102,2,2012_12_10,Louisiana,2012
103,1,2012_12_11,Louisiana,2012
104,1,2012_12_12,Louisiana,2012
105,2,2012_12_13,Louisiana,2012
106,1,2012_12_16,Louisiana,2012
107,1,2012_12_17,Louisiana,2012
108,4,2012_12_18,Louisiana,2012
109,5,2012_12_19,Louisiana,2012
110,4,2012_12_20,Louisiana,2012
111,1,2012_12_22,Louisiana,2012
112,1,2012_12_24,Louisiana,2012
113,2,2012_12_25,Louisiana,2012
114,2,2012_12_26,Louisiana,2012
115,2,2012_12_27,Louisiana,2012
116,1,2012_12_28,Louisiana,2012
117,1,2012_03_03,Michigan,2012
118,1,2012_03_06,Michigan,2012
119,1,2012_03_09,Michigan,2012
