,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,50,4.0,14,96,5.0
1,68,8.0,20,112,12.0
2,113,14.0,45,187,20.0
3,116,25.0,29,186,34.0
4,163,36.0,48,278,47.0
5,5,115.0,2,8,164.0
6,441,154.0,86,704,215.0
7,542,111.0,149,926,157.0
8,366,22.0,98,644,29.0
9,100,153.0,19,156,217.0
10,483,101.0,103,853,129.0
11,466,94.0,153,690,136.0
12,384,91.0,65,610,125.0
13,304,50.0,48,503,70.0
14,229,64.0,30,342,80.0
15,357,62.0,80,566,95.0
16,400,58.0,126,740,71.0
17,283,32.0,80,432,51.0
18,215,41.0,48,334,48.0
19,154,23.0,39,229,32.0
20,124,143.0,20,214,209.0
21,988,286.0,263,1669,442.0
22,1843,136.0,328,3083,204.0
23,921,108.0,136,1415,139.0
24,550,56.0,74,809,72.0
25,351,26.0,42,490,35.0
26,188,26.0,26,264,33.0
27,271,29.0,41,328,32.0
28,248,16.0,29,280,21.0
29,137,14.0,31,182,19.0
30,159,8.0,35,192,10.0
31,95,4.0,10,100,7.0
32,98,5.0,10,126,11.0
33,79,5.0,9,104,5.0
34,74,5.0,13,87,6.0
35,62,2.0,13,73,2.0
36,40,1.0,8,60,3.0
37,24,2.0,11,50,3.0
38,36,6.0,3,48,7.0
39,47,1.0,3,61,2.0
40,82,3.0,24,106,3.0
41,78,3.0,6,86,3.0
42,47,4.0,7,56,4.0
43,90,3.0,10,114,6.0
44,89,1.0,14,113,1.0
45,54,2.0,8,72,2.0
46,14,1.0,5,21,1.0
47,34,2.0,6,42,3.0
48,31,3.0,2,42,1.0
49,29,,2,39,3.0
50,28,,8,33,
51,40,,14,53,
