,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,465,23,150,753,36
1,727,39,185,1173,57
2,37,7,5,53,9
3,868,102,179,1426,141
4,1437,145,364,2687,191
5,1682,287,671,3408,375
6,2062,439,737,4312,567
7,3584,615,1385,6761,815
8,4573,828,1532,8730,1064
9,4186,853,1446,7722,1120
10,3458,847,1112,6639,1138
11,3751,802,1238,6749,1057
12,2803,575,930,4926,775
13,2497,500,779,4200,666
14,1824,375,511,2972,468
15,1447,293,381,2498,378
16,1581,213,535,2830,287
17,2447,230,1455,4380,289
18,1684,211,569,2706,261
19,1103,163,299,1921,205
20,826,112,216,1637,152
21,1529,158,566,2264,190
22,1734,195,550,2729,240
23,1274,140,428,2268,189
24,1274,112,369,1957,137
25,1651,114,392,2527,147
26,1200,122,365,1891,148
27,1687,122,385,2457,147
28,1556,98,320,2233,127
29,1145,93,175,1442,110
30,870,58,169,1145,67
31,658,57,106,989,69
32,583,54,95,876,63
33,543,42,90,771,52
34,707,33,249,985,40
35,589,32,101,754,37
36,331,15,114,543,21
37,244,10,41,319,13
38,396,11,40,505,13
39,366,17,36,465,20
40,336,14,71,436,20
41,228,11,59,303,14
42,221,8,46,288,10
43,273,10,41,393,14
44,350,13,57,454,16
45,504,5,81,622,10
46,958,13,287,1203,26
47,520,6,150,727,11
48,298,8,82,419,11
49,532,13,291,683,19
50,2229,2,64,2339,5
51,626,12,180,847,21
