,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,31,1.0,12,58,3.0
1,53,9.0,8,104,14.0
2,116,10.0,45,195,20.0
3,82,15.0,28,139,19.0
4,130,24.0,33,225,28.0
5,234,50.0,77,433,71.0
6,458,80.0,161,801,114.0
7,473,88.0,148,838,134.0
8,545,112.0,158,972,146.0
9,649,143.0,160,1141,186.0
10,876,148.0,279,1520,199.0
11,899,131.0,342,1678,164.0
12,492,78.0,109,764,100.0
13,354,65.0,100,562,88.0
14,337,61.0,92,564,98.0
15,225,30.0,70,350,47.0
16,796,57.0,106,1023,71.0
17,558,29.0,133,817,42.0
18,239,20.0,75,442,31.0
19,178,25.0,24,286,28.0
20,220,18.0,38,351,28.0
21,361,43.0,48,619,58.0
22,477,32.0,93,644,41.0
23,564,23.0,60,740,30.0
24,143,15.0,38,191,17.0
25,111,7.0,9,153,8.0
26,116,8.0,15,164,8.0
27,74,4.0,18,97,6.0
28,75,9.0,12,98,11.0
29,98,5.0,18,119,6.0
30,49,3.0,9,67,3.0
31,35,3.0,7,54,3.0
32,32,4.0,4,49,4.0
33,46,6.0,5,60,6.0
34,36,1.0,5,48,1.0
35,9,1.0,3,18,1.0
36,86,1.0,3,77,2.0
37,21,1.0,3,21,1.0
38,29,1.0,8,32,1.0
39,15,1.0,3,26,1.0
40,45,1.0,30,52,1.0
41,23,1.0,8,29,2.0
42,45,,2,48,2.0
43,35,,8,65,1.0
44,53,,1,62,
45,14,,3,21,
46,47,,4,70,
47,31,,5,38,
48,15,,3,30,
49,35,,8,42,
50,19,,4,28,
51,18,,1,17,
