Year,Final_Week,State,State_Code,Count,Percentage
2013,02AUG,Kansas,KS,292681,0.48900299999999997
2014,01AUG,Kansas,KS,334330,0.48629799999999995
2015,30JUL,Kansas,KS,351852,0.47153599999999996
2016,29JUL,Kansas,KS,354805,0.47676
2017,20JAN,Kansas,KS,372808,0.459352
2013,02AUG,Utah,UT,155376,0.509757
2014,01AUG,Utah,UT,167008,0.498204
2015,30JUL,Utah,UT,174975,0.48006899999999997
2016,29JUL,Utah,UT,177799,0.48744899999999997
2017,20JAN,Utah,UT,191377,0.47448799999999997
2013,02AUG,Oregon,OR,283375,0.477089
2014,01AUG,Oregon,OR,304723,0.457819
2015,30JUL,Oregon,OR,317437,0.444857
2016,29JUL,Oregon,OR,326549,0.437996
2017,20JAN,Oregon,OR,355724,0.427846
2013,02AUG,District of Columbia,DC,50284,0.41015
2014,01AUG,District of Columbia,DC,52835,0.398316
2015,30JUL,District of Columbia,DC,53297,0.38769499999999996
2016,29JUL,District of Columbia,DC,53162,0.394906
2017,20JAN,District of Columbia,DC,56733,0.36802199999999996
2013,02AUG,Oklahoma,OK,429138,0.51764
2014,01AUG,Oklahoma,OK,456522,0.511682
2015,30JUL,Oklahoma,OK,468649,0.48713199999999995
2016,29JUL,Oklahoma,OK,472984,0.493602
2017,20JAN,Oklahoma,OK,500584,0.464597
2013,02AUG,New Mexico,NM,173497,0.409586
2014,01AUG,New Mexico,NM,183795,0.40840099999999996
2015,30JUL,New Mexico,NM,196778,0.403785
2016,29JUL,New Mexico,NM,199045,0.40729000000000004
2017,20JAN,New Mexico,NM,212102,0.37760099999999996
2013,02AUG,Louisiana,LA,428712,0.44143899999999997
2014,01AUG,Louisiana,LA,443376,0.43798299999999996
2015,30JUL,Louisiana,LA,449058,0.41956699999999997
2016,29JUL,Louisiana,LA,445617,0.437005
2017,20JAN,Louisiana,LA,470327,0.40865799999999997
2013,02AUG,Washington,WA,550823,0.47923899999999997
2014,01AUG,Washington,WA,623225,0.482639
2015,30JUL,Washington,WA,650902,0.47445699999999996
2016,29JUL,Washington,WA,672578,0.483813
