,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,86,4.0,43,154,7.0
1,98,4.0,19,127,8.0
2,275,6.0,134,393,9.0
3,172,6.0,60,273,13.0
4,118,18.0,47,236,22.0
5,268,27.0,93,456,38.0
6,498,58.0,179,826,81.0
7,487,74.0,162,818,110.0
8,563,105.0,139,963,131.0
9,704,112.0,134,1104,143.0
10,529,86.0,132,855,115.0
11,541,131.0,116,924,178.0
12,537,76.0,110,948,108.0
13,335,64.0,96,598,89.0
14,417,68.0,125,699,101.0
15,404,73.0,73,638,91.0
16,332,34.0,95,618,43.0
17,342,40.0,126,572,52.0
18,296,38.0,87,462,45.0
19,227,35.0,41,381,42.0
20,303,17.0,53,415,23.0
21,134,8.0,41,232,11.0
22,126,21.0,21,170,26.0
23,177,31.0,44,245,35.0
24,124,16.0,35,205,22.0
25,128,11.0,34,213,15.0
26,110,9.0,23,159,13.0
27,101,9.0,21,165,10.0
28,206,12.0,21,253,13.0
29,49,4.0,34,103,5.0
30,109,13.0,26,140,15.0
31,87,10.0,20,113,12.0
32,73,7.0,14,129,7.0
33,171,6.0,12,195,8.0
34,186,7.0,22,208,10.0
35,85,2.0,32,141,4.0
36,74,8.0,15,105,9.0
37,121,2.0,34,192,3.0
38,172,1.0,73,222,1.0
39,54,2.0,15,97,2.0
40,94,4.0,8,116,4.0
41,68,3.0,13,84,4.0
42,53,1.0,7,67,2.0
43,104,1.0,18,126,1.0
44,106,6.0,21,117,7.0
45,146,1.0,8,160,1.0
46,284,2.0,11,343,2.0
47,150,4.0,17,171,5.0
48,83,1.0,25,113,1.0
49,47,2.0,10,66,1.0
50,101,,39,148,2.0
51,83,,14,193,
