,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,328,26,86,484,34
1,669,62,199,977,85
2,591,84,188,1004,119
3,1114,170,514,2123,233
4,1475,305,540,2719,437
5,2462,587,620,4317,804
6,3837,908,978,6864,1307
7,4688,1301,1442,8481,1800
8,4810,1551,1067,8376,2117
9,4600,1540,1144,8140,2168
10,5289,1392,1810,8511,1907
11,4033,1185,1026,6964,1624
12,3534,1000,715,5782,1370
13,2840,767,606,4895,1102
14,2356,664,441,3921,930
15,2532,529,349,3594,725
16,1985,402,396,3039,545
17,2817,359,1154,5147,458
18,2863,407,660,4174,538
19,1659,285,306,2704,428
20,2709,413,499,4534,631
21,3984,665,914,6631,973
22,4707,874,1199,8435,1300
23,3527,757,660,5443,994
24,1963,431,825,3735,554
25,1667,265,383,2498,356
26,1359,211,291,1946,264
27,1025,109,286,1464,153
28,973,88,276,1687,117
29,761,87,136,1226,115
30,485,59,97,702,80
31,473,49,56,680,62
32,427,44,101,575,63
33,517,35,105,658,50
34,410,36,61,490,45
35,308,33,46,442,49
36,407,37,92,636,61
37,405,27,47,547,35
38,427,27,74,515,31
39,199,18,37,334,46
40,140,9,23,170,15
41,213,12,28,316,15
42,804,19,64,955,36
43,415,8,65,594,15
44,402,13,41,526,20
45,594,20,38,857,24
46,403,18,38,566,25
47,256,18,82,416,20
48,375,12,59,501,21
49,276,16,35,365,21
50,258,20,42,392,23
51,419,31,145,669,48
