Category: All categories,
,
Week,influenza vaccine: (United States)
8/7/16,22
8/14/16,41
8/21/16,32
8/28/16,55
9/4/16,70
9/11/16,88
9/18/16,86
9/25/16,98
10/2/16,100
10/9/16,98
10/16/16,79
10/23/16,88
10/30/16,52
11/6/16,54
11/13/16,58
11/20/16,51
11/27/16,51
12/4/16,47
12/11/16,40
12/18/16,36
12/25/16,31
1/1/17,45
1/8/17,51
1/15/17,31
1/22/17,48
1/29/17,58
2/5/17,62
2/12/17,78
2/19/17,39
2/26/17,36
3/5/17,34
3/12/17,38
3/19/17,32
3/26/17,36
4/2/17,41
4/9/17,44
4/16/17,42
4/23/17,39
4/30/17,37
