Category: All categories

Month,"""influenza vaccine"": (United States)"
2012-04,19
2012-05,15
2012-06,18
2012-07,17
2012-08,28
2012-09,67
2012-10,61
2012-11,43
2012-12,43
2013-01,67
2013-02,26
2013-03,23
2013-04,23
2013-05,17
2013-06,16
2013-07,18
2013-08,32
2013-09,77
2013-10,90
2013-11,54
2013-12,39
2014-01,52
2014-02,27
2014-03,29
2014-04,23
2014-05,19
2014-06,16
2014-07,22
2014-08,35
2014-09,74
2014-10,100
2014-11,54
2014-12,46
2015-01,31
2015-02,26
2015-03,27
2015-04,29
2015-05,17
2015-06,19
2015-07,17
2015-08,33
2015-09,67
2015-10,96
2015-11,56
2015-12,32
2016-01,21
2016-02,32
2016-03,26
2016-04,24
2016-05,17
2016-06,14
2016-07,14
2016-08,31
2016-09,52
2016-10,68
2016-11,43
2016-12,28
2017-01,29
2017-02,29
2017-03,25
2017-04,26
2017-05,17
2017-06,29
2017-07,21
2017-08,35
2017-09,63
2017-10,69
2017-11,48
2017-12,36
2018-01,57
2018-02,50
2018-03,25
2018-04,28
